id,first_name,last_name,position,affiliation,page_type,url
134,Nicholas,Ryan,Professor,Yale University,HOME,https://campuspress.yale.edu/nicholasryan/
130,Luca,Sala,Professor,Università Bocconi,HOME,https://sites.google.com/view/luca-sala
165,Christian,Schluter,Professor,Aix Marseille School of Economics,HOME,https://christianschluter.github.io/
83,Jesse,Schreger,Professor,Columbia Business School,HOME,https://sites.google.com/view/jschreger/home
82,Markus,Schwedeler,Other,NL Analytics,HOME,https://mschwedeler.github.io/
111,Ingrid,Semb,Other,Statistics Norway,HOME,https://sites.google.com/view/ingrid-mikkelsen-semb
103,Maria,Silfa,Ass. Professor,Ohio State University,HOME,https://www.mariasilfa.com/
52,Luca,Stella,Professor,University of Milan,HOME,https://www.lucastella.eu/
129,Lars,Svensson,Professor,Stockholm School of Economics,HOME,https://larseosvensson.se/
118,Joris,Tielens,Other,National Bank of Belgium,HOME,https://sites.google.com/view/joris-tielens
116,Antonella,Trigari,Professor,Bocconi University,HOME,https://sites.google.com/view/antonellatrigari
81,Laurence,van Lent,Professor,Frankfurt School of Finance and Management,HOME,https://sites.google.com/view/laurence-van-lent/welcome-and-news
47,Simon,Voss,PhD,Freie Universität Berlin,HOME,https://sites.google.com/view/simonvoss/home
72,Jingye,Wang,Ass. Professor,Renmin University of China,HOME,https://jingyew.github.io/
96,Timothy,Werner,Professor,University of Texas at Austin,HOME,https://timothywerner.com
49,Liam,Wren-Lewis,Professor,Paris School of Economics / INRAE,HOME,https://sites.google.com/site/liamwrenlewis/Home
104,Hye Young,You,Professor,Princeton University,HOME,https://hyeyoungyou.com/
57,Maurizio,Zanardi,Professor,University of Sussex,HOME,https://sites.google.com/view/mauriziozanardi/
75,Tony,Zhang,Professor,Arizona State University,HOME,https://sites.google.com/view/tzhang0/home
,Marium,Ashfaq,PhD,University of Cambridge,HOME,https://sites.google.com/view/mariumashfaq/about?authuser=0
,Deniz,Atalar,PhD,University of Cambridge,HOME,https://www.denizatalar.com/
,Ana,Lleó-Bono,PhD,University of Cambridge,HOME,https://sites.google.com/view/analleobono
,Charles,Parry,PhD,University of Cambridge,HOME,https://sites.google.com/view/charles-parry
