researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
434,Ziyang,Shen,Columbia University,Ziyang Shen,Columbia University,http://sites.google.com/view/ziyangshen,REPEC:per:2020-07-27:ziyang_shen,exact_name,unique
487,David,Van Dijcke,University of Michigan,David Van Dijcke,University of Michigan,http://davidvandijcke.github.io,REPEC:per:2020-05-06:david_van_dijcke,exact_name,unique
511,Andrew,Smith,University of Wisconsin-Madison,Andrew David Allan Smith,Coventry University,http://andrewdsmith.wordpress.com,REPEC:per:1976-05-04:andrew_david_allan_smith,exact_name,unique
538,Francesco,Billari,Cornell University,Francesco C. Billari,Università Commerciale Luigi Bocconi,http://faculty.unibocconi.eu/francescocandelorobillari/,REPEC:per:2005-04-02:francesco_c_billari,exact_name,unique
559,Moritz,Poll,Brown University,Moritz Poll,Brown University,http://www.moritz-poll.eu,REPEC:per:1994-01-26:moritz_poll,exact_name,unique
611,Raj,Chetty,Harvard University,Raj Chetty,National Bureau of Economic Research (NBER),http://www.rajchetty.com,REPEC:per:2003-10-27:raj_chetty,exact_name,unique
621,Murat,Iyigun,University of Colorado Boulder,Murat F. Iyigun,Harvard University,http://stripe.colorado.edu/~iyigun/,REPEC:per:1964-04-26:murat_f__iyigun,exact_name,unique
627,Jack,Mountjoy,University of Chicago Booth,Jack Mountjoy,University of Chicago,http://www.jackmountjoy.net,REPEC:per:2019-05-04:jack_mountjoy,exact_name,unique
634,Matthew,Baron,Cornell University,Matthew D. Baron,Cornell University,https://gufaculty360.georgetown.edu/s/faculty-profile?netID=mb3023,REPEC:per:1985-02-27:matthew_d_baron,exact_name,unique
646,Yuhta,Ishii,Pennsylvania State University,Yuhta Ishii,Pennsylvania State University,https://sites.google.com/site/yuhtaishiiswebsite/,REPEC:per:2016-09-07:yuhta_ishii,exact_name,unique
647,Anton,Kolotilin,UNSW Sydney,Anton Kolotilin,UNSW Sydney,http://www.kolotilin.com/,REPEC:per:1984-07-18:anton_kolotilin,exact_name,unique
651,Basile,Grassi,Bocconi University,Basile Grassi,Università Commerciale Luigi Bocconi,http://sites.google.com/site/grassibasile/,REPEC:per:2015-08-22:basile_grassi,exact_name,unique
655,Wojciech,Olszewski,Northwestern University,Wojciech Olszewski,Northwestern University,http://www.faculty.econ.northwestern.edu/faculty/olszewski/,REPEC:per:2007-04-02:wojciech_olszewski,exact_name,unique
657,Ron,Siegel,Pennsylvania State University,Ron Siegel,Pennsylvania State University,https://sites.google.com/site/ronsiegel/,REPEC:per:1979-02-13:ron_siegel,exact_name,unique
660,Koichiro,Ito,University of Chicago,Koichiro Ito,University of Chicago,http://www.koichiroito.com,REPEC:per:2012-07-30:koichiro_ito,exact_name,unique
669,Pablo,Selaya,University of Copenhagen,Pablo Selaya,Harvard University,http://scholar.harvard.edu/pselaya,REPEC:per:2008-01-03:pablo_selaya,exact_name,unique
670,Ye,Yuan,Peking University,Ye Yuan,Huazhong University of Science and Technology,https://sites.google.com/d/1Ni4V0HzUNqbWQREceaniTYuownpg8-Ah/p/1iblo1AsOzRuyNzSFJ-gutYZCFkiY13cX/edi,REPEC:per:1991-02-24:ye_yuan,exact_name,unique
672,Oliver,Vanden Eynde,Paris School of Economics,Oliver Vanden Eynde,Paris School of Economics,http://www.parisschoolofeconomics.eu/fr/vanden-eynde-oliver/,REPEC:per:1984-11-12:oliver_vanden_eynde,exact_name,unique
675,Rodrigo,Heresi,Central Bank of Chile,Rodrigo Heresi,Inter-American Development Bank,https://rodrigoheresi.com/,REPEC:per:2020-08-25:rodrigo_heresi,exact_name,unique
692,Wouter,Gelade,National Bank of Belgium,Wouter Gelade,Université de Namur,https://sites.google.com/view/woutergelade/home?authuser=0,REPEC:per:2011-12-28:wouter_gelade,exact_name,unique
694,Dean,Karlan,Northwestern University,Dean Karlan,Massachusetts Institute of Technology (MIT),http://www.deankarlan.com,REPEC:per:2002-08-06:dean_karlan,exact_name,unique
696,Christopher,Udry,Northwestern University,Christopher Udry,National Bureau of Economic Research (NBER),http://www.economics.northwestern.edu/people/directory/christopher-udry.html,REPEC:per:1959-07-01:christopher_udry,exact_name,unique
703,Hongbin,Li,Stanford University,Hongbin Li,Stanford University,http://siepr.stanford.edu/scholars/hongbin-li,REPEC:per:1972-04-14:hongbin_li,exact_name,unique
704,Yu,Qin,National University of Singapore,Yu  Qin,National University of Singapore (NUS),https://bizfaculty.nus.edu.sg/faculty-details/?profId=671,REPEC:per:2011-05-03:yu_qin,exact_name,unique
705,Jing,Wu,Tsinghua University,Jing  Wu,Tsinghua University,http://thuwujing.net/,REPEC:per:2016-02-10:jing_wu,exact_name,unique
711,Damien,de Walque,World Bank,Damien  de Walque,World Bank Group,https://sites.google.com/site/decrgdamiendewalque/,REPEC:per:2004-08-03:damien_de_walque,exact_name,unique
714,Jessica,Leight,IFPRI,Jessica Leight,International Food Policy Research Institute (IFPRI),http://econ.williams.edu/people/jl14,REPEC:per:2013-08-12:jessica_leight,exact_name,unique
715,Abhishek,Kumar,University of Southampton,Abhishek Kumar,Indira Gandhi Institute of Development Research (IGIDR),http://mostlyeconmix.github.io,REPEC:per:2016-04-17:abhishek_kumar,exact_name,unique
718,Mihai,Manea,Stony Brook University,Mihai Manea,Massachusetts Institute of Technology (MIT),http://economics.mit.edu/faculty/manea,REPEC:per:2014-11-21:mihai_manea,exact_name,unique
725,Fabio,Maccheroni,Universita Bocconi,Fabio Maccheroni,Università Commerciale Luigi Bocconi,http://didattica.unibocconi.eu/myigier/index.php?IdUte=49280,REPEC:per:2011-03-01:fabio_maccheroni,exact_name,unique
726,Massimo,Marinacci,Universita Bocconi,Massimo Marinacci,Università Commerciale Luigi Bocconi,http://faculty.unibocconi.eu/massimomarinacci/,REPEC:per:2006-02-23:massimo_marinacci,exact_name,unique
730,Wolfgang,Pesendorfer,Princeton University,Wolfgang Pesendorfer,Princeton University,http://www.princeton.edu/~pesendor/,REPEC:per:2001-09-13:wolfgang_pesendorfer,exact_name,unique
